object_number,split,pupil_tier,creator,title,n_tiles,d_A_tile_median,d_A_tile_iqr,z_A_tile,z_A_tile_mean_variant,z_A_fixed_refit,rank_z_A_tile,z_B_tile
SK-A-4881,pupil,tier1,Nicolaes Maes,"Portrait of a young man, possibly Simon van Alphen (1650-1730)",20,0.40536915,0.20652137,0.05632138,0.23561702,-0.79274189,29,1.14043045
SK-A-4888,pupil,tier1,Nicolaes Maes,Portret van Pieter Groenendijk,20,0.32158571,0.26812916,-0.61759876,-0.41900558,-1.24410958,42,0.66997457
SK-A-4889,pupil,tier1,Nicolaes Maes,Portret van Petronella Dunois,20,0.41343244,0.19617502,0.12117925,-0.14095639,-1.12082476,26,0.66989685
SK-A-5033,cohort,,,Portrait of Marten Soolmans,20,0.28533931,0.06000494,-0.96568727,-0.10852230,0.13811432,54,0.72857898
SK-A-5092,cohort,,,The Standard Bearer,20,0.41497957,0.23374840,0.13778654,-0.82326102,-1.82211529,24,0.73873060
SK-A-582,pupil,tier1,Govert Flinck,"Portret van een man, vermoedelijk Augustijn Wtenbogaert (1577-1655)",20,0.31161748,0.11420338,-0.69777916,-0.74872678,-0.50593998,47,0.77012792
SK-A-683,pupil,tier1,Ferdinand Bol,Roelof Meulenaer (1618/19-1691). Amsterdam Mercantile Courier or Postmaster on the Antwerp Route,20,0.46090204,0.19041343,0.50300560,-0.36605339,1.14491929,15,0.70603733
SK-A-684,pupil,tier1,Ferdinand Bol,Maria Rey (1630/31-1703). Echtgenote van Roelof Meulenaer,20,0.43050197,0.16797687,0.25847970,-0.47310697,-1.52991121,22,0.59487693
SK-A-686,pupil,tier1,Gerrit Dou,Johan Wittert van der Aa (1604-1670),20,0.43678723,0.15993532,0.30903578,-0.02842665,-0.65496839,20,0.50967912
SK-A-714,pupil,tier1,Ferdinand Bol,"Portret van een vrouw, mogelijk Elisabeth Bas",20,0.25488510,0.12556189,-1.15411153,-0.90929833,-1.04671323,59,0.57636083
SK-A-86,pupil,tier1,Gerrit Dou,Man Smoking a Pipe,20,0.38593366,0.16280338,-0.10000978,-0.57102022,-0.71772038,33,1.17449960
SK-A-87,pupil,tier1,Gerrit Dou,The Night School,20,0.33740108,0.15561273,-0.49038628,0.28215369,0.07154174,39,4.46912601
SK-A-90,pupil,tier1,Gerrit Dou,Portrait of a Couple in a Landscape,20,0.26265452,0.16818505,-1.09161746,-0.80580613,-0.73557101,57,1.45964357
SK-C-107,pupil,tier1,Ferdinand Bol,"Portret van een zee-overste, waarschijnlijk vice-admiraal Aert van Nes (1626-1693)",20,0.47610596,0.13466423,0.62529980,0.20060142,-0.24267095,10,1.02324256
SK-C-127,pupil,tier1,Gerrit Dou,A Fisherman's Wife,20,0.49979140,0.15794913,0.81581588,0.56490993,0.69987225,7,0.83999910
SK-C-128,pupil,tier1,Gerrit Dou,A Hermit,20,0.53160445,0.15130458,1.07170722,0.41240661,-0.98022463,6,0.57218366
SK-C-1467,pupil,tier2,Jan Lievens,"Constantijn Huygens (1596-1687), Lord of Zuylichem. Secretary of the Stadtholder, Prince Frederik Hendrik, and Poet",20,0.23491042,0.06355282,-1.31477982,-0.07751727,-1.10114205,61,0.69179645
SK-C-152,pupil,tier1,Samuel van Hoogstraten,'The Anemic Lady',20,0.41995049,0.13488984,0.17360782,-0.20588725,0.37428196,23,0.83687737
SK-C-176,pupil,tier1,Nicolaes Maes,De spinster,20,0.45312653,0.25227551,0.44046253,-0.44314239,-0.48885523,18,0.53225903
SK-C-1768,cohort,,,Portret van Oopjen Coppit,20,0.27430147,0.06011044,-1.06683805,-0.35133381,0.62199586,55,0.61666142
SK-C-1802,pupil,tier1,Willem Drost,Cimon and Pero (Roman Charity),20,0.38242578,0.17184126,-0.12822575,-0.62904918,-0.95448783,34,0.58744743
SK-C-597,cohort,,,"Portrait of a woman, possibly Maria Trip",20,0.40192162,0.29470959,0.02946366,-0.37647737,0.33845165,30,3.49639729
