object_number,split,pupil_tier,verdict,reason,mm_per_px_native,tile_side_native_px,grid_rows,grid_cols,tiles_available,tiles_planned,tiles_written
SK-A-106,pupil,tier1,eligible,eligible,0.135291,222,19,24,456,20,20
SK-A-110,pupil,tier1,below_floor,native_coarser_than_floor,0.246051,,,,,0,0
SK-A-1259,pupil,tier1,eligible,eligible,0.065086,461,13,10,130,20,20
SK-A-1304,pupil,tier1,below_floor,native_coarser_than_floor,0.282329,,,,,0,0
SK-A-1575,pupil,tier1,below_floor,native_coarser_than_floor,0.446801,,,,,0,0
SK-A-1576,pupil,tier1,below_floor,native_coarser_than_floor,0.375865,,,,,0,0
SK-A-1577,pupil,tier1,below_floor,native_coarser_than_floor,0.643655,,,,,0,0
SK-A-1578,pupil,tier1,below_floor,native_coarser_than_floor,0.623288,,,,,0,0
SK-A-1579,pupil,tier1,below_floor,native_coarser_than_floor,0.357862,,,,,0,0
SK-A-158,pupil,tier1,below_floor,native_coarser_than_floor,0.210148,,,,,0,0
SK-A-1591,pupil,tier1,eligible,eligible,0.127431,235,20,17,340,20,20
SK-A-1612,pupil,tier1,eligible,eligible,0.066826,449,13,10,130,20,20
SK-A-1645,pupil,tier1,eligible,eligible,0.092175,325,18,14,252,20,20
SK-A-1646,pupil,tier1,eligible,eligible,0.092071,326,18,14,252,20,20
SK-A-1660,pupil,tier2,below_floor,native_coarser_than_floor,0.262231,,,,,0,0
SK-A-1661,pupil,tier2,below_floor,native_coarser_than_floor,0.230056,,,,,0,0
SK-A-1662,pupil,tier1,below_floor,native_coarser_than_floor,0.244383,,,,,0,0
SK-A-1935,cohort,,eligible,eligible,0.069581,431,8,12,96,20,20
SK-A-218,pupil,tier2,eligible,eligible,0.079983,375,12,11,132,20,20
SK-A-2359,pupil,tier1,below_floor,native_coarser_than_floor,0.206150,,,,,0,0
SK-A-2360,pupil,tier1,below_floor,native_coarser_than_floor,0.212843,,,,,0,0
SK-A-245,pupil,tier1,eligible,eligible,0.184120,163,36,28,1008,20,20
SK-A-246,pupil,tier1,eligible,eligible,0.118893,252,19,16,304,20,20
SK-A-2507,pupil,tier1,eligible,eligible,0.196458,153,28,42,1176,20,20
SK-A-2627,pupil,tier1,eligible,eligible,0.154444,194,26,20,520,20,20
SK-A-2695,pupil,tier1,below_floor,native_coarser_than_floor,0.218051,,,,,0,0
SK-A-2958,pupil,tier1,below_floor,native_coarser_than_floor,0.383137,,,,,0,0
SK-A-2959,pupil,tier1,below_floor,native_coarser_than_floor,0.483658,,,,,0,0
SK-A-2960,pupil,tier1,below_floor,native_coarser_than_floor,0.487561,,,,,0,0
SK-A-3066,cohort,,eligible,eligible,0.075153,399,18,14,252,20,20
SK-A-3103,pupil,tier1,below_floor,native_coarser_than_floor,0.254736,,,,,0,0
SK-A-3106,pupil,tier1,eligible,eligible,0.192057,156,22,17,374,20,20
SK-A-3137,cohort,,below_floor,native_coarser_than_floor,0.334254,,,,,0,0
SK-A-3138,cohort,,eligible,eligible,0.144968,207,24,20,480,20,20
SK-A-3254,pupil,tier1,eligible,eligible,0.162210,185,20,27,540,20,20
SK-A-3276,cohort,,eligible,eligible,0.118894,252,17,13,221,20,20
SK-A-3340,cohort,,eligible,eligible,0.129979,231,21,16,336,20,20
SK-A-3451,pupil,tier1,eligible,eligible,0.127298,236,22,19,418,20,20
SK-A-3477,cohort,,eligible,eligible,0.047794,628,15,11,165,20,20
SK-A-3508,pupil,tier1,eligible,eligible,0.075389,398,11,9,99,20,20
SK-A-3516,pupil,tier2,eligible,eligible,0.174934,171,27,21,567,20,20
SK-A-3517,pupil,tier2,eligible,eligible,0.156484,192,27,21,567,20,20
SK-A-3934,validation,,eligible,eligible,0.043184,695,12,10,120,20,20
SK-A-3969,pupil,tier1,eligible,eligible,0.193655,155,38,31,1178,20,20
SK-A-397,pupil,tier2,eligible,eligible,0.173451,173,37,29,1073,20,20
SK-A-3981,cohort,,below_floor,native_coarser_than_floor,0.363210,,,,,0,0
SK-A-3982,cohort,,eligible,eligible,0.015287,1962,5,4,20,20,20
SK-A-4047,pupil,tier1,eligible,eligible,0.037662,797,10,8,80,20,20
SK-A-4050,cohort,,eligible,eligible,0.075483,397,27,23,621,20,20
SK-A-4057,cohort,,eligible,eligible,0.100629,298,17,14,238,20,20
SK-A-4090,pupil,tier2,eligible,eligible,0.198085,151,27,36,972,20,20
SK-A-4096,ambiguous,,eligible,eligible,0.053107,565,8,7,56,20,20
SK-A-4166,pupil,tier1,eligible,eligible,0.110394,272,20,15,300,20,20
SK-A-4192,pupil,tier1,below_floor,native_coarser_than_floor,0.546327,,,,,0,0
SK-A-42,pupil,tier1,below_floor,native_coarser_than_floor,0.210875,,,,,0,0
SK-A-43,pupil,tier1,eligible,eligible,0.180115,167,36,29,1044,20,20
SK-A-44,pupil,tier1,below_floor,native_coarser_than_floor,0.286010,,,,,0,0
SK-A-45,pupil,tier1,below_floor,native_coarser_than_floor,0.383966,,,,,0,0
SK-A-46,pupil,tier1,below_floor,native_coarser_than_floor,0.414821,,,,,0,0
SK-A-4674,cohort,,eligible,eligible,0.100735,298,19,14,266,20,20
SK-A-4691,cohort,,eligible,eligible,0.041720,719,10,8,80,20,20
SK-A-4702,pupil,tier2,eligible,eligible,0.163119,184,23,21,483,20,20
SK-A-4717,cohort,,eligible,eligible,0.048654,617,12,8,96,20,20
SK-A-4823,pupil,tier1,below_floor,native_coarser_than_floor,0.316369,,,,,0,0
SK-A-4833,cohort,,eligible,eligible,0.074519,403,20,16,320,20,20
SK-A-4853,pupil,tier1,eligible,eligible,0.196061,153,36,33,1188,20,20
SK-A-4881,pupil,tier1,eligible,eligible,0.117141,256,21,17,357,20,20
SK-A-4885,cohort,,below_floor,native_coarser_than_floor,0.206910,,,,,0,0
SK-A-4888,pupil,tier1,eligible,eligible,0.114569,262,20,17,340,20,20
SK-A-4889,pupil,tier1,eligible,eligible,0.114546,262,20,17,340,20,20
SK-A-5033,cohort,,eligible,eligible,0.116949,257,61,39,2379,20,20
SK-A-5092,cohort,,eligible,eligible,0.117561,255,36,29,1044,20,20
SK-A-582,pupil,tier1,eligible,eligible,0.127885,235,22,18,396,20,20
SK-A-589,pupil,tier2,below_floor,native_coarser_than_floor,0.209000,,,,,0,0
SK-A-612,pupil,tier2,below_floor,native_coarser_than_floor,0.383693,,,,,0,0
SK-A-613,pupil,tier1,below_floor,native_coarser_than_floor,0.481976,,,,,0,0
SK-A-614,pupil,tier1,below_floor,native_coarser_than_floor,0.379705,,,,,0,0
SK-A-683,pupil,tier1,eligible,eligible,0.181801,165,35,28,980,20,20
SK-A-684,pupil,tier1,eligible,eligible,0.177455,169,35,28,980,20,20
SK-A-686,pupil,tier1,eligible,eligible,0.058954,509,8,7,56,20,20
SK-A-714,pupil,tier1,eligible,eligible,0.199869,150,35,27,945,20,20
SK-A-838,pupil,tier2,below_floor,native_coarser_than_floor,0.220070,,,,,0,0
SK-A-839,pupil,tier2,below_floor,native_coarser_than_floor,0.220428,,,,,0,0
SK-A-86,pupil,tier1,eligible,eligible,0.117490,255,20,15,300,20,20
SK-A-869,pupil,tier1,below_floor,native_coarser_than_floor,0.790795,,,,,0,0
SK-A-87,pupil,tier1,eligible,eligible,0.093106,322,15,12,180,20,20
SK-A-88,pupil,tier1,eligible,eligible,0.043981,682,7,5,35,20,20
SK-A-89,pupil,tier1,eligible,eligible,0.038861,772,5,5,25,20,20
SK-A-90,pupil,tier1,eligible,eligible,0.135433,222,22,18,396,20,20
SK-C-107,pupil,tier1,eligible,eligible,0.164990,182,34,28,952,20,20
SK-C-1174,pupil,tier2,below_floor,native_coarser_than_floor,0.812373,,,,,0,0
SK-C-127,pupil,tier1,eligible,eligible,0.052949,567,9,6,54,20,20
SK-C-128,pupil,tier1,eligible,eligible,0.049078,611,10,8,80,20,20
SK-C-1467,pupil,tier2,eligible,eligible,0.184096,163,30,25,750,20,20
SK-C-1474,pupil,tier2,below_floor,native_coarser_than_floor,0.214114,,,,,0,0
SK-C-152,pupil,tier1,eligible,eligible,0.116996,256,20,16,320,20,20
SK-C-176,pupil,tier1,eligible,eligible,0.064885,462,12,10,120,20,20
SK-C-1768,cohort,,eligible,eligible,0.111760,268,61,39,2379,20,20
SK-C-1802,pupil,tier1,eligible,eligible,0.146820,204,47,35,1645,20,20
SK-C-216,cohort,,below_floor,native_coarser_than_floor,0.218504,,,,,0,0
